Continents	GDP	World_Partitions	xCoordinates	yCoordinates	Names
1	1209.0	2	0.43806820000000002	0.49572650000000001	"Algeria"
6	8042.0	2	0.21590909999999999	0.77492879999999997	"Argentina"
5	20333.0	2	0.86363639999999997	0.70085470000000005	"Australia"
3	28942.0	1	0.46875000000000000	0.41139599999999998	"Austria"
6	7053.0	2	0.26704539999999999	0.57663819999999999	"Barbados"
2	272.0	3	0.73011369999999998	0.50712250000000003	"Bangladesh"
3	27129.0	1	0.45000000000000001	0.39316240000000002	"Belgium/Lux."
4	2753.0	3	0.13522729999999999	0.52592589999999995	"Belize"
6	885.0	3	0.22159090000000001	0.69515669999999996	"Bolivia"
6	4501.0	2	0.28977269999999999	0.67806270000000002	"Brazil"
4	19362.0	2	0.13636360000000000	0.33048430000000001	"Canada"
6	4589.0	2	0.19318179999999999	0.76353280000000001	"Chile"
2	584.0	1	0.75000000000000000	0.46438740000000001	"China"
6	2089.0	2	0.22159090000000001	0.59259260000000002	"Colombia"
3	4187.0	2	0.48863640000000003	0.42735040000000002	"Croatia"
3	11818.0	2	0.51420460000000001	0.47008549999999999	"Cyprus"
3	4922.0	2	0.47727269999999999	0.40170939999999999	"Czech Rep."
3	33121.0	2	0.46022730000000001	0.37606840000000002	"Denmark"
6	1565.0	2	0.17613640000000000	0.62108260000000004	"Ecuador"
1	970.0	2	0.51704550000000005	0.50712250000000003	"Egypt"
4	1675.0	3	0.13068179999999999	0.54131050000000003	"El Salvador"
5	2604.0	3	0.98863630000000002	0.69515669999999996	"Fiji"
3	24653.0	2	0.51136360000000003	0.33048430000000001	"Finland"
3	26458.0	1	0.43750000000000000	0.41595440000000000	"France"
6	11415.0	3	0.27840910000000002	0.60968659999999997	"French Guiana"
3	29419.0	1	0.46590910000000002	0.39886040000000000	"Germany"
3	10900.0	2	0.50284090000000004	0.45014240000000000	"Greece"
6	9204.0	3	0.26136359999999997	0.57549859999999997	"Guadeloupe"
4	1469.0	3	0.12500000000000000	0.53561250000000005	"Guatemala"
4	700.0	3	0.14772730000000001	0.54131050000000003	"Honduras"
2	22372.0	2	0.81250000000000000	0.50997150000000002	"Hong Kong"
3	4274.0	2	0.48295450000000001	0.41139599999999998	"Hungary"
3	26006.0	2	0.36931819999999999	0.31623930000000000	"Iceland"
2	370.0	2	0.69318179999999996	0.54700859999999996	"India"
2	1024.0	2	0.78693179999999996	0.62108260000000004	"Indonesia"
3	17888.0	2	0.41193180000000001	0.36467240000000001	"Ireland"
2	16506.0	2	0.54261360000000003	0.47578350000000003	"Israel"
3	18975.0	1	0.47159089999999998	0.43589739999999999	"Italy"
2	40920.0	1	0.87500000000000000	0.45868949999999997	"Japan"
2	1159.0	2	0.55681820000000004	0.48148150000000001	"Jordan"
2	10153.0	2	0.84375000000000000	0.46153850000000002	"Korea"
2	15717.0	2	0.58806820000000004	0.48717949999999999	"Kuwait"
3	1754.0	2	0.51136360000000003	0.36467240000000001	"Latvia"
1	115.0	2	0.58522730000000001	0.68376070000000000	"Madagascar"
2	4342.0	2	0.80397730000000001	0.58689460000000004	"Malaysia"
6	12711.0	3	0.26420460000000001	0.56695160000000000	"Martinique"
1	3567.0	2	0.61647730000000001	0.69629629999999998	"Mauritius"
4	3140.0	3	0.07954540000000000	0.50142450000000005	"Mexico"
1	1270.0	2	0.40909089999999998	0.47293449999999998	"Morocco"
3	25769.0	1	0.44886369999999998	0.38461540000000000	"Netherlands"
5	16402.0	2	0.96022730000000001	0.80911679999999997	"New Zealand"
4	427.0	3	0.14772730000000001	0.55270649999999999	"Nicaragua"
3	33708.0	2	0.46022730000000001	0.34188039999999997	"Norway"
2	6382.0	2	0.61931820000000004	0.52136749999999998	"Oman"
2	502.0	2	0.65056820000000004	0.49572650000000001	"Pakistan"
4	3005.0	3	0.17613640000000000	0.57549859999999997	"Panama"
6	1860.0	3	0.24431820000000001	0.71794870000000000	"Paraguay"
6	2501.0	2	0.18181820000000001	0.66666660000000000	"Peru"
2	1084.0	2	0.83522730000000001	0.54985759999999995	"Philippines"
3	3083.0	2	0.49147730000000001	0.38746439999999999	"Poland"
3	10620.0	2	0.40340910000000002	0.44444440000000002	"Portugal"
3	329.0	3	0.51136360000000003	0.41595440000000000	"Moldava"
1	11856.0	3	0.60681819999999997	0.70370370000000004	"Reunion"
3	1561.0	2	0.50568179999999996	0.42735040000000002	"Romania"
1	6920.0	3	0.63068179999999996	0.63418810000000003	"Seychelles"
2	25645.0	2	0.77272730000000001	0.59259260000000002	"Singapore"
3	9419.0	2	0.47159089999999998	0.42165239999999998	"Slovenia"
1	3566.0	2	0.50852269999999999	0.71794870000000000	"Southern Africa"
3	14140.0	2	0.42045460000000001	0.43874639999999998	"Spain"
2	721.0	2	0.70170460000000001	0.57264959999999998	"Sri Lanka"
3	26296.0	1	0.48011359999999997	0.35327629999999999	"Sweden"
3	43034.0	1	0.46022730000000001	0.41880339999999999	"Switzerland"
2	2869.0	2	0.76420460000000001	0.54131050000000003	"Thailand"
6	4080.0	2	0.26136359999999997	0.58689460000000004	"Trinidad Tobago"
1	2013.0	2	0.46420450000000002	0.47179480000000001	"Tunisia"
3	2763.0	2	0.54545460000000001	0.44444440000000002	"Turkey"
3	18991.0	1	0.42897730000000001	0.37321939999999998	"United Kingdom"
4	26341.0	1	0.11931820000000000	0.41595440000000000	"United States"
6	5526.0	2	0.25000000000000000	0.75783480000000003	"Uruguay"
6	3496.0	2	0.22727269999999999	0.59259260000000002	"Venezuela"
